date,mean(¡ÆC),prep(mm),humidity(%),whole_price,retail_price
20160101,1.2,0,73,46000,30665
20160102,5.7,0,76.9,46000,31530
20160103,6.5,0,80.6,46000,31530
20160104,2,0,54.4,46000,31530
20160105,-2.7,0,39.4,46000,31530
20160106,-1.7,0,54.3,46000,31530
20160107,-3.4,0,51.8,46000,31530
20160108,-3.3,0,49.8,46000,31530
20160109,-2.1,0,57.1,46000,31530
20160110,0.3,0,42.3,46000,31530
20160111,-3.8,0,38.3,46000,31530
20160112,-5.2,0,46,40000,31530
20160113,-4.5,0.4,63,40000,31530
20160114,-3.4,0,52.1,40000,31530
20160115,-0.4,0,52.3,40000,31530
20160116,-0.2,0.1,68,40000,31530
20160117,1.7,0,64,40000,30665
20160118,-6.3,0.2,59.8,40000,30665
20160119,-12.8,0,45.9,40000,30665
20160120,-10.5,0,43.6,43000,30665
20160121,-7.1,0,44.3,43000,30665
20160122,-7.6,0,40.5,43000,30665
20160123,-11.5,0,42,43000,31530
20160124,-14.4,0,48.5,43000,31530
20160125,-9.4,0,47.1,43000,31530
20160126,-3.3,0.3,64.5,43000,31530
20160127,-1.1,0,56.3,43000,31530
20160128,-0.5,0,51.5,43000,35777
20160129,1.9,0,43.6,43000,35777
20160130,0.6,0,59.5,43000,34667
20160131,-3.9,0,34,45000,28113
20160201,-6,0,36,45000,28113
20160202,-5.3,0,41.8,45000,28113
20160203,-2.4,0,49.6,45000,28113
20160204,-0.7,0,50.1,45000,25670
20160205,-2.2,0,39.4,45000,25670
20160206,-3.1,0,38.6,45000,23780
20160207,-2.9,0,46.5,45000,23780
20160208,1.3,0,62.1,45000,23780
20160209,0.3,0,52.5,45000,23780
20160210,2.7,0,38.5,45000,23780
20160211,8.1,0.1,29.3,45000,22083
20160212,8.4,18,95.3,45000,22500
20160213,11,21,95,45000,22500
20160214,-2.6,2.5,73.1,45000,22500
20160215,-5.8,0,48.4,45000,22500
20160216,-2.7,0.8,65.6,35000,22500
20160217,0,0,53.9,35000,22500
20160218,3.5,0,66.4,35000,25000
20160219,2.3,0,56.4,35000,25000
20160220,1.3,0,37.1,35000,25000
20160221,-0.6,0,36.4,35000,25000
20160222,1.1,0,36.6,35000,25000
20160223,0.7,0.9,56,35000,25000
20160224,-3,0,42,35000,25000
20160225,-0.2,0,49.9,35000,25000
20160226,2.2,0,41.3,40000,25000
20160227,3.3,0.2,57.6,40000,30665
20160228,0.7,4.1,65.5,40000,30665
20160229,-3.8,0,48.6,40000,30665
20160301,-2.7,0,47.3,45000,30665
20160302,3.1,0,67.9,45000,30665
20160303,8.1,0,65.1,45000,30665
20160304,13.2,0.1,55.3,45000,30665
20160305,11.3,40,91.3,45000,30665
20160306,7.9,0.2,51,45000,30665
20160307,8.1,0,36.9,45000,30665
20160308,2.7,0,40.4,45000,30665
20160309,0.3,0,37.5,45000,30665
